City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
11,Luis Correia,BR,77.77,broken clouds,-2.88,-41.67,Hotel Amarração
19,Kapaa,US,84.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
20,Ponta Do Sol,PT,75.2,broken clouds,32.67,-17.1,Hotel do Campo
26,Atuona,PF,78.69,light rain,-9.8,-139.03,Villa Enata
30,Tahoua,NE,82.4,overcast clouds,14.89,5.27,Bungalows Guesthouse
32,Jiazi,CN,84.92,clear sky,22.88,116.07,Hotel Jin Hao
34,Georgetown,MY,87.8,haze,5.41,100.34,Cititel Penang
39,Itaituba,BR,78.66,few clouds,-4.28,-55.98,Hotel Campos
43,Meulaboh,ID,81.18,light rain,4.14,96.13,Kost Pria
44,Kavaratti,IN,82.26,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
45,Cabo San Lucas,MX,78.01,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
47,Hithadhoo,MV,82.69,light rain,-0.6,73.08,Scoop Guest House
49,Corinto,GR,77.0,clear sky,37.94,22.96,Ephira Hotel
52,Butaritari,KI,82.92,overcast clouds,3.07,172.79,Isles Sunset Lodge
57,Coahuayana,MX,79.09,overcast clouds,18.73,-103.68,Hotel Los Arcos
60,La Palma,US,80.6,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
63,Vung Tau,VN,82.83,scattered clouds,10.35,107.08,Seaside Resort
64,Hami,CN,79.27,overcast clouds,42.8,93.45,Laoyutang Resort
69,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
73,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
76,Airai,TL,77.59,clear sky,-8.93,125.41,Juvinal Martin
82,Goderich,CA,77.0,clear sky,43.75,-81.72,Harmony Inn
83,Cayenne,GF,78.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
91,Kirakira,SB,83.59,moderate rain,-10.45,161.92,SanBiz Lodge
94,Alice Springs,AU,75.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
99,Victoria,HK,88.0,few clouds,22.29,114.16,Mini Hotel Central
103,Negombo,LK,80.6,few clouds,7.21,79.84,Hotel Sunset Beach
111,Kodiak,US,75.2,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
114,Robertsport,LR,76.44,light rain,6.75,-11.37,Kwepunha Retreat
115,San Quintin,MX,77.0,broken clouds,30.48,-115.95,Old Mill Hotel
130,Dasuya,IN,79.39,light rain,31.82,75.66,President Hotel
138,Cefalu,IT,75.0,clear sky,38.04,14.02,Hotel La Giara
140,Chopda,IN,78.01,overcast clouds,21.25,75.3,पवन टेलर
141,Saint-Francois,FR,78.8,scattered clouds,46.42,3.91,Manoir Du Bonheur
144,Mackay,AU,79.0,clear sky,-21.15,149.2,International Lodge Motel
148,Kahului,US,86.0,few clouds,20.89,-156.47,Maui Seaside Hotel
153,Gaya,IN,80.6,mist,24.78,85.0,Hotel Viraat Inn
154,Tha Muang,TH,84.38,overcast clouds,13.96,99.64,Tha Muang Hotel
155,Katiola,CI,75.2,scattered clouds,8.13,-5.1,Kakoumani
156,Dingle,PH,85.05,overcast clouds,11.0,122.67,Camp Pasica
169,Port Moresby,PG,84.2,scattered clouds,-9.44,147.18,Lamana Hotel
176,Bandarbeyla,SO,76.26,clear sky,9.49,50.81,REER XOOSHLE GROUP
178,Price,US,84.2,clear sky,39.6,-110.81,National 9 - Price River Inn
179,Upata,VE,82.0,overcast clouds,8.01,-62.4,Posada Villa Nela
181,Faanui,PF,77.9,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,Najran,SA,77.0,clear sky,17.49,44.13,محمد هادي ال فطيح
183,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
196,Isangel,VU,84.2,few clouds,-19.55,169.27,Volcano Sea View Tree House
204,Tabas,IR,86.0,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
205,Voh,NC,77.61,clear sky,-20.97,164.7,Le gîte du Koniambo
206,Dingzhou,CN,77.0,clear sky,38.51,115.0,宜家时尚宾馆
207,Sao Filipe,CV,76.15,scattered clouds,14.9,-24.5,Tortuga B&B
210,Utinga,BR,75.2,shower rain,-5.82,-35.4,Chacara Oásis
213,Elizabeth City,US,77.0,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
240,Carson City,US,86.0,clear sky,39.16,-119.77,Courtyard by Marriott Carson City
244,Rawah,IQ,77.18,clear sky,34.48,41.91,المملكة الراوية الهاشمية
247,Roseburg,US,84.2,overcast clouds,43.22,-123.34,Holiday Inn Express Roseburg
249,Alugan,PH,84.61,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
253,Paracuru,BR,79.0,scattered clouds,-3.41,-39.03,Hotel Vento Brasil
255,Katobu,ID,85.55,clear sky,-4.94,122.53,La Ode Husein
256,Port Hedland,AU,87.8,clear sky,-20.32,118.57,The Esplanade Hotel
257,Itarema,BR,76.77,clear sky,-2.92,-39.92,Windvillage
265,Yenangyaung,MM,76.15,light rain,20.47,94.88,Hotel Country
267,Lazaro Cardenas,MX,80.31,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
272,Bozdar,PK,86.0,haze,27.18,68.64,Makhdoom Hotel
275,Enid,US,79.0,clear sky,36.4,-97.88,Ramada by Wyndham Enid
276,Padang,ID,85.05,broken clouds,-0.95,100.35,Mercure Padang
283,Sabang,ID,83.17,light rain,5.89,95.32,Hotel Citra
284,Marsh Harbour,BS,83.08,scattered clouds,26.54,-77.06,Abaco Beach Resort
294,Isla Aguada,MX,84.31,scattered clouds,18.78,-91.47,Freedom Shores
305,Sinnamary,GF,79.74,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
308,Sola,VU,81.45,clear sky,-13.88,167.55,Leumerus Bungalows
310,Banjar,ID,82.4,few clouds,-8.19,114.97,The Hamsa Resort
312,Buraydah,SA,78.8,few clouds,26.33,43.98,Mövenpick Hotel Qassim
314,Majene,ID,83.95,clear sky,-3.54,118.97,Kost Putri RABBANI
316,Bengkulu,ID,83.48,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
319,Alexandria,EG,77.0,few clouds,31.22,29.96,Royal Crown Hotel
331,Paseh,ID,76.8,clear sky,-7.1,107.76,aindita anggraini home's
335,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
336,Mahibadhoo,MV,82.96,broken clouds,3.78,72.97,Omadhoo Inn
338,Yamada,JP,79.0,scattered clouds,39.47,141.95,Iroha-ya Inn
341,Ixtapa,MX,84.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
345,Portland,US,80.01,broken clouds,45.52,-122.68,Portland Marriott City Center
348,Saint Anthony,US,78.01,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
350,Sao Miguel Do Araguaia,BR,77.76,clear sky,-13.28,-50.16,Hotel Executivo Palace
353,Matara,LK,80.28,light rain,5.95,80.54,Amaloh Boutique Resort
354,Caldwell,US,87.8,clear sky,43.66,-116.69,La Quinta Inn by Wyndham Caldwell
357,Pizarro,CO,77.56,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
358,Hobyo,SO,75.79,overcast clouds,5.35,48.53,Osmani Hotel
361,Cananea,MX,82.0,light rain,30.95,-110.3,Casas Montoya
362,Nuoro,IT,75.2,clear sky,40.32,9.33,Hotel Sandalia
363,Lorengau,PG,86.0,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
364,George Town,MY,87.8,haze,5.41,100.34,Cititel Penang
365,Natal,BR,75.2,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
366,Cockburn Town,TC,82.96,clear sky,21.46,-71.14,Osprey Beach Hotel
367,Canico,PT,75.2,broken clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
368,Lubao,PH,84.2,broken clouds,14.92,120.55,Hacienda Gracia
369,Puerto Escondido,MX,81.93,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
371,Laguna,US,84.0,smoke,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
375,Castanhal,BR,78.8,overcast clouds,-1.29,-47.93,ESTAÇÃO HOTEL
389,Half Moon Bay,US,75.2,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
390,Cairns,AU,86.0,clear sky,-16.92,145.77,Mantra Trilogy Cairns
392,Bundaberg,AU,75.99,clear sky,-24.85,152.35,Takalvan Motel
393,Vila Do Maio,CV,78.8,few clouds,15.13,-23.22,Residence 'I Delfini'
394,Conceicao Do Araguaia,BR,80.49,clear sky,-8.26,-49.26,Tarumã Tropical Hotel
399,Tonantins,BR,82.71,broken clouds,-2.87,-67.8,Hotel Rei Davi
400,Galiakot,IN,78.26,overcast clouds,23.52,74.0,Galiakot
402,Sao Jose Da Coroa Grande,BR,75.38,light rain,-8.9,-35.15,Crôa Mares Hotel
406,Buala,SB,86.36,light rain,-8.14,159.59,Maringe Lagoon Lodge
411,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
413,Cienfuegos,CU,80.6,light rain,22.15,-80.44,Casa Claumar B2BPay
414,Maningrida,AU,86.83,clear sky,-12.07,134.27,Dhukurrdji Lodge
416,Dongli,CN,87.8,few clouds,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
418,Thanh Hoa,VN,80.06,light rain,19.8,105.77,KHÁCH SẠN NGỌC LY 8
422,Popondetta,PG,87.67,broken clouds,-8.75,148.25,Timos Transit House
423,Umm Lajj,SA,85.46,clear sky,25.02,37.27,Moon light Furnished Units
424,Labuhan,ID,83.75,few clouds,-6.88,112.21,bador sepret
425,Namatanai,PG,85.03,few clouds,-3.67,152.43,Namatanai Hotel
427,Dhule,IN,77.95,overcast clouds,20.9,74.78,Hotel Dwarkamai
430,Port Blair,IN,82.4,broken clouds,11.67,92.75,Fortune Resort Bay Island
432,Marsa Matruh,EG,77.0,scattered clouds,31.35,27.25,Beau Site
434,Olinda,BR,75.2,light rain,-8.01,-34.86,Hotel 5 Sóis
435,Ukiah,US,82.4,clear sky,39.15,-123.21,Hampton Inn Ukiah
438,Shirgaon,IN,80.71,moderate rain,19.7,72.7,LAXMI GARDEN BEACH RESORT
441,Polewali,ID,84.87,clear sky,-3.43,119.34,Lilianto Hotel
444,Makakilo City,US,87.8,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
447,Bubaque,GW,79.83,moderate rain,11.28,-15.83,Casa Dora
449,Grants Pass,US,86.0,few clouds,42.44,-123.33,La Quinta Inn & Suites by Wyndham Grants Pass
454,Kota Kinabalu,MY,86.0,few clouds,5.97,116.07,Gaya Centre Hotel
457,Urumqi,CN,78.8,broken clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
458,Andros Town,BS,84.2,scattered clouds,24.7,-77.77,Hanks place
460,Macapa,BR,82.4,clear sky,0.04,-51.07,Atalanta Hotel
462,Sapulpa,US,77.0,clear sky,36.0,-96.11,Super 8 by Wyndham Sapulpa/Tulsa Area
470,Chenghai,CN,87.8,few clouds,23.46,116.77,Guangdong Hotel
475,Acapulco,MX,82.4,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
476,Harindanga,IN,82.4,light rain,22.04,88.32,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
482,Waingapu,ID,84.29,clear sky,-9.66,120.26,Pondok Wisata Elim
484,Neiafu,TO,82.4,scattered clouds,-18.65,-173.98,Mystic Sands
486,Nagua,DO,79.3,clear sky,19.38,-69.85,Hotel Cambri
492,Sao Felix Do Xingu,BR,76.84,clear sky,-6.64,-51.99,Apart Hotel Rio Xingu
493,Kavieng,PG,84.0,scattered clouds,-2.57,150.8,Nusa Island Retreat
494,Aras,ES,75.2,broken clouds,42.56,-2.36,Jardines de Viana Spa
496,Tianpeng,CN,84.0,light rain,30.99,103.94,Shuangliu Love Home Business Hotel
497,Adana,TR,77.0,scattered clouds,36.98,35.29,Hotel Adana
498,Dabou,CI,75.2,few clouds,5.33,-4.38,Le Cognac de Dabou
499,Gorontalo,ID,87.22,clear sky,0.54,123.06,Maqna Hotel by Prasanthi
500,Zarautz,ES,75.2,broken clouds,43.28,-2.17,Hotel Zarauz
501,Tuy Hoa,VN,83.26,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
503,Dong Xoai,VN,81.45,light rain,11.53,106.92,Nhà Hàng Thiên Thanh - CT. TNHH Thiên Lộc
509,Tabou,CI,75.06,broken clouds,4.42,-7.35,hotêl doufoulougou
511,Tecoanapa,MX,81.5,light rain,16.52,-98.75,Hotel Manglares
514,Ewa Beach,US,87.8,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
515,Rincon,US,80.6,broken clouds,32.3,-81.24,Bent tree subdivision
517,Villa Bruzual,VE,75.22,moderate rain,9.33,-69.12,Hotel Turen
519,Dakar,SN,82.4,broken clouds,14.69,-17.44,Novotel Dakar
523,Felanitx,ES,78.8,clear sky,39.47,3.15,Petit Hotel Hostatgeria Sant Salvador
527,Anjiang,CN,83.46,light rain,27.32,110.1,Dahua Hotel
