City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-08-17 22:16:43,42.6,-73.97,75.0,71,3,5.61
1,Hermanus,ZA,2020-08-17 22:14:09,-34.42,19.23,46.99,79,93,7.0
2,Dikson,RU,2020-08-17 22:16:44,73.51,80.55,50.13,93,76,13.0
3,Saint George,US,2020-08-17 22:15:18,37.1,-113.58,111.99,5,1,10.29
4,Puerto El Triunfo,SV,2020-08-17 22:16:44,13.28,-88.55,95.0,59,20,4.14
5,Ushuaia,AR,2020-08-17 22:16:44,-54.8,-68.3,33.8,86,75,11.41
6,Rikitea,PF,2020-08-17 22:13:59,-23.12,-134.97,71.49,76,23,9.15
7,Cape Town,ZA,2020-08-17 22:13:44,-33.93,18.42,48.99,70,20,13.87
8,New Norfolk,AU,2020-08-17 22:14:27,-42.78,147.06,42.01,91,74,2.44
9,Mataura,NZ,2020-08-17 22:16:44,-46.19,168.86,35.01,97,98,4.0
10,Esfarayen,IR,2020-08-17 22:16:45,37.08,57.51,64.4,77,0,6.29
11,Kiunga,PG,2020-08-17 22:16:45,-6.12,141.29,70.77,91,12,3.18
12,Busselton,AU,2020-08-17 22:16:45,-33.65,115.33,50.0,80,96,13.96
13,Yellowknife,CA,2020-08-17 22:14:07,62.46,-114.35,66.2,52,40,4.7
14,Bijie,CN,2020-08-17 22:16:45,27.31,105.29,63.09,90,100,2.66
15,Padang,ID,2020-08-17 22:16:45,-0.95,100.35,76.66,72,53,4.03
16,Mar Del Plata,AR,2020-08-17 22:16:45,-38.0,-57.56,57.2,44,0,12.75
17,Fort-Shevchenko,KZ,2020-08-17 22:16:46,44.51,50.26,72.91,57,0,16.8
18,Tautira,PF,2020-08-17 22:16:46,-17.73,-149.15,82.4,58,75,11.41
19,Astana,KZ,2020-08-17 22:15:48,51.18,71.45,53.6,81,100,6.71
20,Punta Arenas,CL,2020-08-17 22:13:54,-53.15,-70.92,37.4,74,75,19.46
21,Micheweni,TZ,2020-08-17 22:16:46,-4.97,39.83,75.81,81,99,12.24
22,Sola,VU,2020-08-17 22:16:46,-13.88,167.55,80.6,88,75,5.82
23,Sibolga,ID,2020-08-17 22:16:46,1.74,98.78,76.1,82,41,4.14
24,Bethel,US,2020-08-17 22:16:47,41.37,-73.41,77.0,61,90,6.93
25,Jiuquan,CN,2020-08-17 22:16:47,39.74,98.52,66.45,24,0,8.61
