City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hukuntsi,BW,2020-08-21 02:24:06,-24.0,21.75,39.85,52,0,6.15,clear sky
1,Diamantino,BR,2020-08-21 02:19:08,-14.41,-56.45,62.4,77,96,16.55,overcast clouds
2,Ballina,AU,2020-08-21 02:24:06,-28.87,153.57,68.0,37,40,11.41,scattered clouds
3,Mataura,NZ,2020-08-21 02:24:06,-46.19,168.86,48.99,96,100,4.0,overcast clouds
4,Rikitea,PF,2020-08-21 02:24:06,-23.12,-134.97,66.24,79,100,25.61,overcast clouds
5,Albany,US,2020-08-21 02:21:06,42.6,-73.97,66.99,59,0,3.02,clear sky
6,East London,ZA,2020-08-21 02:24:07,-33.02,27.91,60.26,71,100,12.24,light rain
7,Mahebourg,MU,2020-08-21 02:24:07,-20.41,57.7,66.2,77,20,5.82,few clouds
8,Merauke,ID,2020-08-21 02:24:07,-8.47,140.33,82.27,54,0,9.64,clear sky
9,Hilo,US,2020-08-21 02:23:24,19.73,-155.09,80.6,69,90,5.82,overcast clouds
10,Punta Arenas,CL,2020-08-21 02:21:32,-53.15,-70.92,42.8,81,90,12.75,overcast clouds
11,Luis Correia,BR,2020-08-21 02:24:08,-2.88,-41.67,77.77,82,57,10.63,broken clouds
12,Mumford,GH,2020-08-21 02:24:09,5.26,-0.76,74.32,89,100,13.02,light rain
13,Souillac,MU,2020-08-21 02:24:09,-20.52,57.52,66.2,77,20,5.82,few clouds
14,Havre-Saint-Pierre,CA,2020-08-21 02:24:09,50.23,-63.6,56.95,66,0,7.78,clear sky
15,Yellowknife,CA,2020-08-21 02:24:09,62.46,-114.35,57.2,54,20,6.93,few clouds
16,Yerbogachen,RU,2020-08-21 02:24:09,61.28,108.01,63.68,71,0,7.83,clear sky
17,New Norfolk,AU,2020-08-21 02:24:09,-42.78,147.06,51.01,79,55,1.01,broken clouds
18,Ushuaia,AR,2020-08-21 02:23:31,-54.8,-68.3,41.0,80,40,10.29,scattered clouds
19,Kapaa,US,2020-08-21 02:24:10,22.08,-159.32,84.2,66,75,13.87,broken clouds
20,Ponta Do Sol,PT,2020-08-21 02:24:10,32.67,-17.1,75.2,83,75,4.7,broken clouds
21,Khatanga,RU,2020-08-21 02:24:11,71.97,102.5,52.29,49,0,16.98,clear sky
22,Narsaq,GL,2020-08-21 02:24:11,60.92,-46.05,46.4,70,0,5.82,clear sky
23,Saint-Philippe,RE,2020-08-21 02:24:12,-21.36,55.77,66.2,52,20,10.29,few clouds
24,Asau,RO,2020-08-21 02:24:12,46.43,26.4,57.0,97,0,4.38,clear sky
25,Bluff,NZ,2020-08-21 02:24:12,-46.6,168.33,48.99,96,99,4.0,overcast clouds
26,Atuona,PF,2020-08-21 02:24:12,-9.8,-139.03,78.69,77,73,19.3,light rain
27,La Ronge,CA,2020-08-21 02:24:13,55.1,-105.28,69.8,49,75,2.24,broken clouds
28,Hobart,AU,2020-08-21 02:24:13,-42.88,147.33,51.01,47,75,8.05,broken clouds
29,Saint George,US,2020-08-21 02:23:40,37.1,-113.58,104.0,11,1,10.29,clear sky
30,Tahoua,NE,2020-08-21 02:24:13,14.89,5.27,82.4,69,100,4.7,overcast clouds
31,Stykkisholmur,IS,2020-08-21 02:24:14,65.08,-22.73,45.73,79,0,8.32,clear sky
32,Jiazi,CN,2020-08-21 02:24:15,22.88,116.07,84.92,75,5,9.91,clear sky
33,Tiksi,RU,2020-08-21 02:24:16,71.69,128.87,40.28,84,100,7.94,overcast clouds
34,Georgetown,MY,2020-08-21 02:24:16,5.41,100.34,87.8,79,20,4.7,haze
35,Cape Town,ZA,2020-08-21 02:21:31,-33.93,18.42,55.99,100,0,6.93,clear sky
36,Okhotsk,RU,2020-08-21 02:24:16,59.38,143.3,56.88,58,100,2.71,overcast clouds
37,Trinidad,BO,2020-08-21 02:24:17,-14.83,-64.9,53.58,62,100,14.5,overcast clouds
38,Erenhot,CN,2020-08-21 02:24:17,43.65,111.98,70.18,38,0,10.2,clear sky
39,Itaituba,BR,2020-08-21 02:24:17,-4.28,-55.98,78.66,42,13,0.78,few clouds
40,Jamestown,US,2020-08-21 02:24:17,42.1,-79.24,64.0,77,1,1.9,clear sky
41,Navalmoral De La Mata,ES,2020-08-21 02:24:17,39.89,-5.54,71.01,71,45,6.38,scattered clouds
42,Esperance,AU,2020-08-21 02:24:17,-33.87,121.9,55.4,76,40,11.41,scattered clouds
43,Meulaboh,ID,2020-08-21 02:24:17,4.14,96.13,81.18,80,100,3.31,light rain
44,Kavaratti,IN,2020-08-21 02:24:18,10.57,72.64,82.26,80,100,12.86,overcast clouds
45,Cabo San Lucas,MX,2020-08-21 02:21:29,22.89,-109.91,78.01,94,90,3.36,overcast clouds
46,Zabol,AF,2020-08-21 02:24:18,32.25,67.25,67.82,22,0,3.42,clear sky
47,Hithadhoo,MV,2020-08-21 02:24:18,-0.6,73.08,82.69,76,36,9.13,light rain
48,Bethel,US,2020-08-21 02:24:18,41.37,-73.41,62.01,82,1,3.36,clear sky
49,Corinto,GR,2020-08-21 02:24:18,37.94,22.96,77.0,52,0,1.99,clear sky
50,Fortuna,US,2020-08-21 02:24:18,40.6,-124.16,69.01,84,1,1.01,clear sky
51,Wanaka,NZ,2020-08-21 02:24:19,-44.7,169.15,52.3,65,99,1.1,light rain
52,Butaritari,KI,2020-08-21 02:24:19,3.07,172.79,82.92,75,89,12.64,overcast clouds
53,Coquimbo,CL,2020-08-21 02:24:19,-29.95,-71.34,46.4,100,0,3.36,clear sky
54,Tuktoyaktuk,CA,2020-08-21 02:24:19,69.45,-133.04,55.4,76,90,9.17,overcast clouds
55,Vao,NC,2020-08-21 02:24:19,-22.67,167.48,71.46,77,29,11.86,scattered clouds
56,Lebu,CL,2020-08-21 02:24:19,-37.62,-73.65,49.6,85,0,17.07,clear sky
57,Coahuayana,MX,2020-08-21 02:24:20,18.73,-103.68,79.09,82,100,2.01,overcast clouds
58,Ust-Karsk,RU,2020-08-21 02:24:20,52.7,118.81,68.67,68,62,4.23,broken clouds
59,Nikolskoye,RU,2020-08-21 02:24:20,59.7,30.79,53.6,81,0,3.71,fog
60,La Palma,US,2020-08-21 02:24:20,33.85,-118.05,80.6,61,1,9.17,clear sky
61,Ahlat,TR,2020-08-21 02:24:21,38.75,42.48,60.85,43,0,1.43,clear sky
62,Caracollo,PE,2020-08-21 02:24:22,-14.92,-70.66,45.55,56,1,3.4,clear sky
63,Vung Tau,VN,2020-08-21 02:24:22,10.35,107.08,82.83,78,37,8.41,scattered clouds
64,Hami,CN,2020-08-21 02:24:22,42.8,93.45,79.27,29,87,4.16,overcast clouds
65,Dunedin,NZ,2020-08-21 02:24:23,-45.87,170.5,50.0,90,100,1.01,light rain
66,Port Alfred,ZA,2020-08-21 02:24:24,-33.59,26.89,57.54,79,100,9.98,overcast clouds
67,Castro,BR,2020-08-21 02:24:25,-24.79,-50.01,49.33,95,100,7.36,light rain
68,Tuatapere,NZ,2020-08-21 02:24:25,-46.13,167.68,48.99,96,90,4.0,overcast clouds
69,Avarua,CK,2020-08-21 02:24:25,-21.21,-159.78,77.0,83,0,20.8,clear sky
70,Arraial Do Cabo,BR,2020-08-21 02:24:25,-22.97,-42.03,69.39,82,100,21.03,overcast clouds
71,Clyde River,CA,2020-08-21 02:24:25,70.47,-68.59,45.12,82,100,5.7,overcast clouds
72,Klyuchi,RU,2020-08-21 02:24:25,52.27,79.17,62.4,44,85,8.77,overcast clouds
73,Vaini,TO,2020-08-21 02:24:26,-21.2,-175.2,80.6,83,75,4.7,broken clouds
74,Puerto Ayora,EC,2020-08-21 02:24:26,-0.74,-90.35,66.0,88,72,5.99,broken clouds
75,Kununurra,AU,2020-08-21 02:24:26,-15.77,128.73,93.2,17,0,10.29,clear sky
76,Airai,TL,2020-08-21 02:24:26,-8.93,125.41,77.59,20,0,5.32,clear sky
77,Aljezur,PT,2020-08-21 02:24:26,37.32,-8.8,72.0,80,89,3.31,overcast clouds
78,Geraldton,AU,2020-08-21 02:24:27,-28.77,114.6,60.8,63,98,10.29,overcast clouds
79,Barrow,US,2020-08-21 02:24:27,71.29,-156.79,46.4,87,90,9.17,mist
80,Saldanha,ZA,2020-08-21 02:24:27,-33.01,17.94,48.2,93,0,2.24,clear sky
81,Skagen,DK,2020-08-21 02:24:27,57.72,10.58,66.0,92,14,13.0,few clouds
82,Goderich,CA,2020-08-21 02:24:20,43.75,-81.72,77.0,55,0,19.95,clear sky
83,Cayenne,GF,2020-08-21 02:24:28,4.93,-52.33,78.8,88,18,4.7,few clouds
84,Busselton,AU,2020-08-21 02:24:28,-33.65,115.33,60.01,59,100,5.93,overcast clouds
85,Antofagasta,CL,2020-08-21 02:24:28,-23.65,-70.4,55.4,82,40,12.75,scattered clouds
86,Inhambane,MZ,2020-08-21 02:24:28,-23.86,35.38,64.49,79,58,5.44,broken clouds
87,Qaanaaq,GL,2020-08-21 02:24:28,77.48,-69.36,42.78,80,100,2.82,light rain
88,Los Andes,CL,2020-08-21 02:23:36,-32.83,-70.6,55.0,61,0,2.91,clear sky
89,Dudinka,RU,2020-08-21 02:24:29,69.41,86.18,60.8,59,0,8.95,clear sky
90,Cuamba,MZ,2020-08-21 02:24:29,-14.8,36.54,61.39,91,92,2.26,overcast clouds
91,Kirakira,SB,2020-08-21 02:24:29,-10.45,161.92,83.59,75,35,3.44,moderate rain
92,Bosaso,SO,2020-08-21 02:24:29,11.28,49.18,89.08,49,20,22.64,few clouds
93,Luderitz,NA,2020-08-21 02:24:29,-26.65,15.16,59.23,31,0,8.34,clear sky
94,Alice Springs,AU,2020-08-21 02:20:41,-23.7,133.88,75.0,19,0,5.82,clear sky
95,Sobolevo,RU,2020-08-21 02:24:29,54.43,31.9,56.19,78,100,8.5,overcast clouds
96,Leningradskiy,RU,2020-08-21 02:24:30,69.38,178.42,45.59,81,99,7.94,overcast clouds
97,San Cristobal,VE,2020-08-21 02:24:30,7.77,-72.22,66.78,90,9,1.9,clear sky
98,Pemba,MZ,2020-08-21 02:24:30,-12.97,40.52,72.45,85,99,11.41,overcast clouds
99,Victoria,HK,2020-08-21 02:24:30,22.29,114.16,88.0,66,23,4.0,few clouds
100,Severo-Kurilsk,RU,2020-08-21 02:24:30,50.68,156.12,56.61,66,44,21.92,scattered clouds
101,Qasigiannguit,GL,2020-08-21 02:24:31,68.82,-51.19,42.8,70,25,3.11,scattered clouds
102,Paamiut,GL,2020-08-21 02:24:31,61.99,-49.67,44.28,81,0,3.62,clear sky
103,Negombo,LK,2020-08-21 02:21:48,7.21,79.84,80.6,88,20,2.24,few clouds
104,Kjollefjord,NO,2020-08-21 02:24:31,70.95,27.35,47.41,83,58,5.77,broken clouds
105,Katherine,AU,2020-08-21 02:24:31,-14.47,132.27,91.4,36,0,5.82,clear sky
106,Codrington,AU,2020-08-21 02:24:31,-38.27,141.97,50.04,76,100,22.53,light rain
107,Murgab,TM,2020-08-21 02:24:31,37.5,61.97,69.8,49,0,4.7,clear sky
108,Pisco,PE,2020-08-21 02:24:32,-13.7,-76.22,61.0,82,75,2.3,broken clouds
109,Bredasdorp,ZA,2020-08-21 02:24:32,-34.53,20.04,46.99,96,65,3.0,broken clouds
